Investigation.Type,Accident.Number,Event.Date,Location,Country,Latitude,Longitude,Airport.Code,Airport.Name,Injury.Severity,Aircraft.Category,Registration.Number,Make,Model,Amateur.Built,Number.of.Engines,Engine.Type,FAR.Description,Schedule,Purpose.of.flight,Air.carrier,Total.Fatal.Injuries,Total.Serious.Injuries,Total.Minor.Injuries,Total.Uninjured,Publication.Date,Event.Year,Total_Extracted_Injuries
Accident,WPR15WA171,2015-03-21,"East Kalimantan, Indonesia",Indonesia,000000N,0011700E,,,Non-Fatal,Helicopter,PK-FUP,sikorsky,s76 - c,No,1.0,Reciprocating,,,Personal,,0.0,5.0,2.0,0.0,25-09-2020,2015,0
Accident,ERA15FA164,2015-03-22,"Orlando, FL",United States,283325N,0812321W,,,Fatal,Helicopter,N30242,robinson helicopter company,r44 ii,No,1.0,Reciprocating,091,,Personal,,3.0,0.0,0.0,0.0,25-09-2020,2015,0
Accident,WPR15LA132,2015-03-22,"Flagstaff, AZ",United States,035825N,0111409W,FLG,FLAGSTAFF PULLIAM,Non-Fatal,Airplane,N7628R,beech,b23,No,1.0,Reciprocating,091,,Personal,,0.0,0.0,0.0,2.0,25-09-2020,2015,0
Accident,CEN15LA179,2015-03-23,"Marathon, TX",United States,301227N,1031436W,,,Non-Fatal,Airplane,N945RV,picard roy j,rv 4,Yes,1.0,Reciprocating,091,,Personal,JONES GUILFORD,0.0,1.0,1.0,0.0,25-09-2020,2015,0
Accident,ERA15LA166,2015-03-23,"Inverness, FL",United States,284923N,0821822W,,,Non-Fatal,Airplane,N936B,hawker beechcraft corp,g36,No,1.0,Reciprocating,091,,Personal,ASSOCIATED PACKAGING INC,0.0,1.0,0.0,0.0,03-12-2020,2015,0
Accident,GAA15CA018,2015-03-23,"Camarillo, CA",United States,341234N,0119432W,,,Non-Fatal,Airplane,N2104H,cessna,172s,No,1.0,Reciprocating,091,,Unknown,,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,DCA15WA093,2015-03-24,"Barcellonette, France",France,,,,,Fatal,Airplane,D-AIPX,airbus industrie,a320-211,No,2.0,Reciprocating,,,Personal,Lufthansa,150.0,0.0,0.0,0.0,,2015,0
Accident,CEN15LA180,2015-03-24,"Verdigris, OK",United States,036163N,0953751W,,,Non-Fatal,Airplane,N106BZ,cessna,208b,No,1.0,Turbo Prop,091,,Flight Test,,0.0,1.0,0.0,1.0,11-03-2021,2015,0
Accident,GAA15CA020,2015-03-24,"Flushing, MI",United States,004300N,0008300W,3DA,Dalton,Non-Fatal,Airplane,N7987E,cessna,150,No,1.0,Reciprocating,091,,Personal,Thomas Carr,0.0,1.0,0.0,0.0,25-09-2020,2015,0
Accident,ERA15LA168,2015-03-24,"Live Oak, FL",United States,301553N,0082568W,,,Non-Fatal,Weight-Shift,N993RA,trick trikes,582 cyclone storm,No,1.0,Reciprocating,091,,Instructional,,0.0,2.0,0.0,0.0,25-09-2020,2015,0
Accident,ERA15CA169,2015-03-24,"Siler City, NC",United States,354215N,0793015W,SCR,Siler City Municipal Airport,Non-Fatal,Airplane,N93715,bellanca,17 31a,No,1.0,Reciprocating,091,,Ferry,,0.0,0.0,0.0,1.0,25-09-2020,2015,0
Accident,ERA15LA179,2015-03-24,"Taylors Island, MD",United States,038308N,0761018W,,,Non-Fatal,Helicopter,N43CM,bell,206b,No,1.0,Turbo Shaft,091,,Personal,,0.0,0.0,0.0,2.0,25-09-2020,2015,0
